XX:MaxNewSize,Xms,Xmx,protocol,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount,enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,Throughput
256,256,512,org.apache.coyote.http11.Http11NioProtocol,4096,200,100,250,100,100,TRUE,20000,FALSE,1024,6268.151522
256,256,512,org.apache.coyote.http11.Http11NioProtocol,8192,200,25,500,50,200,FALSE,20000,TRUE,2048,6286.672255
64,256,512,org.apache.coyote.http11.Http11AprProtocol,8192,500,50,75,10,100,TRUE,20000,TRUE,2048,6306.893435
128,256,512,org.apache.coyote.http11.Http11NioProtocol,16384,500,50,75,10,200,FALSE,10000,TRUE,2048,6307.689073
64,128,256,org.apache.coyote.http11.Http11Protocol,16384,1000,50,250,100,200,TRUE,20000,TRUE,1024,6307.821699
64,128,512,org.apache.coyote.http11.Http11Protocol,8192,500,100,500,100,100,FALSE,20000,FALSE,2048,6312.068675
64,64,128,org.apache.coyote.http11.Http11AprProtocol,8192,1000,25,500,50,50,FALSE,10000,FALSE,2048,6314.593024
128,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,200,100,250,100,100,FALSE,10000,FALSE,2048,6319.647785
256,256,512,org.apache.coyote.http11.Http11AprProtocol,8192,500,50,75,10,100,TRUE,10000,TRUE,2048,6320.446645
128,128,256,org.apache.coyote.http11.Http11NioProtocol,16384,200,50,75,100,50,TRUE,10000,FALSE,1024,6341.958397
128,128,256,org.apache.coyote.http11.Http11AprProtocol,8192,500,25,500,10,200,TRUE,10000,TRUE,2048,6356.87496
64,64,128,org.apache.coyote.http11.Http11AprProtocol,16384,500,50,75,50,200,FALSE,10000,FALSE,2048,6357.413804
256,256,512,org.apache.coyote.http11.Http11NioProtocol,4096,1000,50,75,50,200,TRUE,10000,FALSE,2048,6359.839732
64,64,128,org.apache.coyote.http11.Http11NioProtocol,8192,1000,100,500,100,50,FALSE,30000,TRUE,2048,6367.398918
64,128,256,org.apache.coyote.http11.Http11Protocol,16384,500,25,250,10,100,FALSE,10000,TRUE,2048,6367.804381
128,128,256,org.apache.coyote.http11.Http11Protocol,4096,1000,100,250,10,200,TRUE,30000,TRUE,1024,6368.345079
128,128,256,org.apache.coyote.http11.Http11NioProtocol,8192,500,25,500,100,100,TRUE,10000,FALSE,1024,6380.806534
128,128,256,org.apache.coyote.http11.Http11AprProtocol,16384,1000,25,250,50,100,TRUE,20000,FALSE,1024,6382.978723
128,128,256,org.apache.coyote.http11.Http11Protocol,16384,1000,100,500,50,100,FALSE,20000,FALSE,1024,6400.136536
128,128,256,org.apache.coyote.http11.Http11Protocol,4096,500,25,500,100,200,FALSE,10000,FALSE,2048,6405.329234
